Date,VALUE
1998-12-31,126.7
1999-01-31,128.9
1999-02-28,133.1
1999-03-31,134.0
1999-04-30,135.5
1999-05-31,137.7
1999-06-30,139.0
1999-07-31,136.2
1999-08-31,136.0
1999-09-30,134.2
1999-10-31,130.5
1999-11-30,137.0
1999-12-31,141.7
2000-01-31,144.7
2000-02-29,140.8
2000-03-31,137.1
2000-04-30,137.7
2000-05-31,144.7
2000-06-30,139.2
2000-07-31,143.0
2000-08-31,140.8
2000-09-30,142.5
2000-10-31,135.8
2000-11-30,132.6
2000-12-31,128.6
2001-01-31,115.7
2001-02-28,109.2
2001-03-31,116.9
2001-04-30,109.9
2001-05-31,116.1
2001-06-30,118.9
2001-07-31,116.3
2001-08-31,114.0
2001-09-30,97.0
2001-10-31,85.3
2001-11-30,84.9
2001-12-31,94.6
2002-01-31,97.8
2002-02-28,95.0
2002-03-31,110.7
2002-04-30,108.5
2002-05-31,110.3
2002-06-30,106.3
2002-07-31,97.4
2002-08-31,94.5
2002-09-30,93.7
2002-10-31,79.6
2002-11-30,84.9
2002-12-31,80.7
2003-01-31,78.8
2003-02-28,64.8
2003-03-31,61.4
2003-04-30,81.0
2003-05-31,83.6
2003-06-30,83.5
2003-07-31,77.0
2003-08-31,81.7
2003-09-30,77.0
2003-10-31,81.7
2003-11-30,92.5
2003-12-31,94.8
2004-01-31,97.7
2004-02-29,88.5
2004-03-31,88.5
2004-04-30,93.0
2004-05-31,93.2
2004-06-30,101.9
2004-07-31,106.1
2004-08-31,98.2
2004-09-30,96.8
2004-10-31,92.8
2004-11-30,90.5
2004-12-31,102.3
2005-01-31,103.4
2005-02-28,104.0
2005-03-31,102.4
2005-04-30,97.7
2005-05-31,102.2
2005-06-30,105.8
2005-07-31,103.2
2005-08-31,105.6
2005-09-30,86.6
2005-10-31,85.0
2005-11-30,98.9
2005-12-31,103.6
2006-01-31,106.3
2006-02-28,101.7
2006-03-31,107.2
2006-04-30,109.6
2006-05-31,103.2
2006-06-30,105.7
2006-07-31,106.5
2006-08-31,99.6
2006-09-30,104.5
2006-10-31,105.4
2006-11-30,102.9
2006-12-31,109.0
2007-01-31,110.3
2007-02-28,112.5
2007-03-31,107.2
2007-04-30,104.0
2007-05-31,108.0
2007-06-30,103.9
2007-07-31,112.6
2007-08-31,105.0
2007-09-30,99.8
2007-10-31,95.6
2007-11-30,87.3
2007-12-31,88.6
2008-01-31,87.9
2008-02-29,75.0
2008-03-31,64.5
2008-04-30,62.3
2008-05-31,57.2
2008-06-30,50.4
2008-07-31,51.9
2008-08-31,58.5
2008-09-30,61.4
2008-10-31,38.8
2008-11-30,44.7
2008-12-31,38.6
2009-01-31,37.4
2009-02-28,25.3
2009-03-31,26.9
2009-04-30,40.8
2009-05-31,54.8
2009-06-30,49.3
2009-07-31,47.4
2009-08-31,54.5
2009-09-30,53.4
2009-10-31,48.7
2009-11-30,50.6
2009-12-31,53.6
2010-01-31,56.5
2010-02-28,46.4
2010-03-31,52.3
2010-04-30,57.7
2010-05-31,62.7
2010-06-30,54.3
2010-07-31,51.0
2010-08-31,53.2
2010-09-30,48.6
2010-10-31,49.9
2010-11-30,57.8
2010-12-31,63.4
2011-01-31,64.8
2011-02-28,72.0
2011-03-31,63.8
2011-04-30,66.0
2011-05-31,61.7
2011-06-30,57.6
2011-07-31,59.2
2011-08-31,45.2
2011-09-30,46.4
2011-10-31,40.9
2011-11-30,55.2
2011-12-31,64.8
2012-01-31,61.5
2012-02-29,71.6
2012-03-31,69.5
2012-04-30,68.7
2012-05-31,64.4
2012-06-30,62.7
2012-07-31,65.4
2012-08-31,61.3
2012-09-30,68.4
2012-10-31,73.1
2012-11-30,71.5
2012-12-31,66.7
2013-01-31,58.4
2013-02-28,68.0
2013-03-31,61.9
2013-04-30,69.0
2013-05-31,74.3
2013-06-30,82.1
2013-07-31,81.0
2013-08-31,81.8
2013-09-30,80.2
2013-10-31,72.4
2013-11-30,72.0
2013-12-31,77.5
2014-01-31,79.4
2014-02-28,78.3
2014-03-31,83.9
2014-04-30,81.7
2014-05-31,82.2
2014-06-30,86.4
2014-07-31,90.3
2014-08-31,93.4
2014-09-30,89.0
2014-10-31,94.1
2014-11-30,91.0
2014-12-31,93.1
2015-01-31,103.8
2015-02-28,98.8
2015-03-31,101.4
2015-04-30,94.3
2015-05-31,94.6
2015-06-30,99.8
2015-07-31,91.0
2015-08-31,101.3
2015-09-30,102.6
2015-10-31,99.1
2015-11-30,92.6
2015-12-31,96.3
2016-01-31,97.8
2016-02-29,94.0
2016-03-31,96.1
2016-04-30,94.7
2016-05-31,92.4
2016-06-30,97.4
2016-07-31,96.7
2016-08-31,101.8
2016-09-30,103.5
2016-10-31,100.8
2016-11-30,109.4
2016-12-31,113.3
2017-01-31,111.6
2017-02-28,116.1
2017-03-31,124.9
2017-04-30,119.4
2017-05-31,117.6
2017-06-30,117.3
2017-07-31,120.0
2017-08-31,120.4
2017-09-30,120.6
2017-10-31,126.2
2017-11-30,128.6
2017-12-31,123.1
2018-01-31,124.3
2018-02-28,130.0
2018-03-31,127.0
2018-04-30,125.6
2018-05-31,128.8
2018-06-30,127.1
2018-07-31,127.9
2018-08-31,134.7
2018-09-30,135.3
2018-10-31,137.9
2018-11-30,136.4
2018-12-31,126.6
2019-01-31,121.7
2019-02-28,131.4
2019-03-31,124.2
2019-04-30,129.2
2019-05-31,131.3
2019-06-30,124.3
2019-07-31,135.8
2019-08-31,134.2
2019-09-30,126.3
2019-10-31,126.1
