Date,VALUE
1998-12-31,5.52
1999-01-31,5.489
1999-02-28,6.19
1999-03-31,6.138
1999-04-30,6.119
1999-05-31,6.659
1999-06-30,6.817
1999-07-31,7.029
1999-08-31,7.129
1999-09-30,7.105
1999-10-31,7.119
1999-11-30,7.191
1999-12-31,7.531
2000-01-31,7.642
2000-02-29,7.602
2000-03-31,7.441
2000-04-30,7.601
2000-05-31,7.649
2000-06-30,7.417
2000-07-31,7.392
2000-08-31,7.127
2000-09-30,7.127
2000-10-31,7.043
2000-11-30,6.805
2000-12-31,6.173
2001-01-31,6.041
2001-02-28,5.953
2001-03-31,6.134
2001-04-30,6.347
2001-05-31,6.345
2001-06-30,6.524
2001-07-31,6.116
2001-08-31,5.906
2001-09-30,5.487
2001-10-31,4.984
2001-11-30,5.713
2001-12-31,6.244
2002-01-31,5.992
2002-02-28,5.909
2002-03-31,6.334
2002-04-30,5.8954
2002-05-31,5.896
2002-06-30,5.679
2002-07-31,5.323
2002-08-31,4.877
2002-09-30,4.568
2002-10-31,4.74
2002-11-30,5.005
2002-12-31,4.491
2003-01-31,4.726
2003-02-28,4.331
2003-03-31,4.502
2003-04-30,4.429
2003-05-31,4.002
2003-06-30,4.104
2003-07-31,5.39
2003-08-31,5.287
2003-09-30,4.646
2003-10-31,5.091
2003-11-30,5.102
2003-12-31,4.921
2004-01-31,4.788
2004-02-29,4.641
2004-03-31,4.55
2004-04-30,5.22
2004-05-31,5.4491
2004-06-30,5.3319
2004-07-31,5.1913
2004-08-31,4.9598
2004-09-30,4.7526
2004-10-31,4.6254
2004-11-30,4.9477
2004-12-31,4.8048
2005-01-31,4.7059
2005-02-28,4.9177
2005-03-31,5.0562
2005-04-30,4.7452
2005-05-31,4.5151
2005-06-30,4.413
2005-07-31,4.8057
2005-08-31,4.6535
2005-09-30,4.861
2005-10-31,5.1773
2005-11-30,5.1369
2005-12-31,5.0509
2006-01-31,5.1102
2006-02-28,5.1343
2006-03-31,5.4799
2006-04-30,5.7616
2006-05-31,5.7513
2006-06-30,5.831
2006-07-31,5.6422
2006-08-31,5.379
2006-09-30,5.254
2006-10-31,5.2171
2006-11-30,5.0205
2006-12-31,5.2614
2007-01-31,5.4197
2007-02-28,5.2078
2007-03-31,5.2738
2007-04-30,5.2655
2007-05-31,5.5592
2007-06-30,5.7844
2007-07-31,5.6156
2007-08-31,5.34
2007-09-30,5.3257
2007-10-31,5.1571
2007-11-30,4.7516
2007-12-31,4.806
2008-01-31,4.4188
2008-02-29,4.456
2008-03-31,4.2187
2008-04-30,4.5767
2008-05-31,4.8127
2008-06-30,4.8019
2008-07-31,4.8038
2008-08-31,4.6264
2008-09-30,4.6085
2008-10-31,4.6189
2008-11-30,3.2263
2008-12-31,2.7001
